,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
12,13,0.004997206500269104,-2.297866467468027e-05,7.43411366549009e-08,0.0049972064824038605,5.4088374237060355e-05,-1.9050513747356047e-07,0.0049972065751276076,7.787203027070829e-05,1.1617357137543613e-07,1.5043942823118591e-13,5.139381415800313e-14,2.619373202705311e-13
13,14,0.00959977135922532,-5.684012917944515e-05,2.2741025756442123e-07,0.00959977132743097,8.639596848464517e-05,-5.466897138227617e-07,0.009599771727788928,0.00015834712679927397,3.192403518437149e-07,1.7586588947232229e-12,4.981874749484345e-12,4.4131663337140826e-12
14,15,0.02181358397712533,-0.0001481580288112374,3.892036254215907e-07,0.02181358582415267,9.060797465464781e-05,-1.6411796605839021e-06,0.021813586043419576,0.0004054053615225996,1.2488720573253578e-06,1.1393382398321944e-11,5.258363229133626e-10,1.7944002114882562e-10
15,16,0.03698854824846898,1.0080847490273509e-07,-1.5249363346370135e-06,0.036988567426029864,-4.988713337087381e-05,-1.6686653063820262e-06,0.036988565950164955,0.000767273462306619,3.1819338755269266e-06,5.2064900564438967e-14,2.7946258874657667e-09,1.6847950327593976e-09
16,17,0.021778689489585265,0.00014817233470274161,3.892625030135202e-07,0.021778691336582116,9.020041745410679e-05,-1.6403036669576594e-06,0.02177869155588823,0.00040486421862142603,1.247937191993292e-06,1.1393217460237283e-11,5.257560583041197e-10,1.794796121010173e-10
17,18,0.009564155169476113,5.6838379739972317e-05,2.2745804961488294e-07,0.009564155137658896,8.597675073281096e-05,-5.458315856793751e-07,0.009564155538044693,0.00015779781843673106,3.1833443746987064e-07,1.7588164250492358e-12,4.974762933640361e-12,4.4186966451346e-12
18,19,0.00496295247867869,2.2965157105145294e-05,7.43731611480148e-08,0.004962952460799996,5.36809935329667e-05,-1.8972747673426935e-07,0.004962952553537965,7.734764402684042e-05,1.1536389125472925e-07,1.5049246595493905e-13,5.080546895695428e-14,2.630053044758767e-13
19,20,0.0029465653749052327,1.1087214417555123e-05,2.9073177668608705e-08,0.0029465653683951347,3.4370011350718174e-05,-8.154362164671615e-08,0.002946565394810725,4.451168258728914e-05,5.247391520684741e-08,1.5534852974818706e-14,1.5032139160634592e-16,3.1671020153278235e-14
20,r,0.3782548412566309,2.4695267016852934e-08,-5.293486292786066e-11,0.37825411706051926,-1.0724764875101956e-05,2.896451099601955e-07,0.3782541170605193,-1.0724764875105245e-05,2.896451099601955e-07,4.36490623513061e-22,2.0459869993079853e-06,2.0459869993078905e-06
21,gnd,0.034007204219221945,-5.1705932550973324e-09,1.291742929522059e-07,0.03400720423352733,0.0004612484282923644,-6.45827395282135e-08,0.03400720423352733,0.00046124842829236423,-6.45827395276714e-08,2.2709310453968153e-18,2.010710654473872e-13,2.0107106539961835e-13
