,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2
0,1,0.1479722085150762,0.0,-1.0391850950676704e-09,0.1479722085150762,0.0012902324482420343,-4.120282947849924e-05,0.1479722085150762,-0.0025725869328381656,4.120386866359431e-05
1,2,0.0028407663444194597,-1.1111776583701427e-05,2.965740097138825e-08,0.0028407663444194597,7.0166022850581315e-06,3.890412074773535e-09,0.0028407663444194597,5.597934316726474e-05,-3.354781304616179e-08
2,3,0.004871810478905423,-2.3296561606051115e-05,7.670414827237429e-08,0.004871810478905423,1.668111196536144e-05,1.7418904166684558e-08,0.004871810478905423,9.474415116875693e-05,-9.412305243905885e-08
3,4,0.009578269000880307,-5.863374729039344e-05,2.39811072084497e-07,0.009578269000880307,5.170548429535761e-05,1.1799869066517521e-07,0.009578269000880307,0.0001801113251565473,-3.578097627496722e-07
4,5,0.022376953725186454,-0.00015727669772161765,4.3020010948848305e-07,0.022376953725186454,0.0002346173217084655,1.511924786873401e-06,0.022376953725186454,0.00037629310562537307,-1.942124896361884e-06
5,6,0.038557880303651954,0.0,-1.6161408140745464e-06,0.038557880303651954,0.0006191220608404964,6.859924430135247e-06,0.038557880303651954,0.0005561557272071833,-5.2437836160607004e-06
6,7,0.022376953725186454,0.00015727669772161765,4.3020010948848305e-07,0.022376953725186454,0.0002346173217084655,1.511924786873401e-06,0.022376953725186454,0.00037629310562537307,-1.942124896361884e-06
7,8,0.009578269000880293,5.863374729039344e-05,2.39811072084497e-07,0.009578269000880293,5.170548429535761e-05,1.1799869066517521e-07,0.009578269000880293,0.0001801113251565473,-3.578097627496722e-07
8,9,0.004871810478905423,2.3296561606051115e-05,7.670414827237429e-08,0.004871810478905423,1.668111196536144e-05,1.7418904166684558e-08,0.004871810478905423,9.474415116875693e-05,-9.412305243905885e-08
9,10,0.0028407663444194597,1.1111776583701427e-05,2.965740097138825e-08,0.0028407663444194597,7.0166022850581315e-06,3.890412074773535e-09,0.0028407663444194597,5.597934316726471e-05,-3.354781304616179e-08
10,11,0.14797220851507623,0.0,-1.0391850950676704e-09,0.14797220851507623,-0.0012902324482420343,-4.120282947849924e-05,0.14797220851507623,-0.0025725869328381656,4.120386866359431e-05
11,12,0.002840766344419472,-1.1111776583701427e-05,2.965740097138825e-08,0.002840766344419472,-7.0166022850581315e-06,3.890412074773535e-09,0.002840766344419472,5.597934316726472e-05,-3.354781304616179e-08
12,13,0.004871810478905423,-2.3296561606051115e-05,7.670414827237429e-08,0.004871810478905423,-1.668111196536144e-05,1.7418904166684558e-08,0.004871810478905423,9.474415116875694e-05,-9.412305243905885e-08
13,14,0.009578269000880307,-5.863374729039344e-05,2.39811072084497e-07,0.009578269000880307,-5.170548429535761e-05,1.1799869066517521e-07,0.009578269000880307,0.0001801113251565473,-3.578097627496722e-07
14,15,0.022376953725186458,-0.00015727669772161765,4.3020010948848305e-07,0.022376953725186458,-0.0002346173217084655,1.511924786873401e-06,0.022376953725186458,0.00037629310562537307,-1.942124896361884e-06
15,16,0.038557880303651954,0.0,-1.6161408140745464e-06,0.038557880303651954,-0.0006191220608404964,6.859924430135247e-06,0.038557880303651954,0.0005561557272071832,-5.2437836160607004e-06
16,17,0.022376953725186458,0.00015727669772161765,4.3020010948848305e-07,0.022376953725186458,-0.0002346173217084655,1.511924786873401e-06,0.022376953725186458,0.00037629310562537307,-1.942124896361884e-06
17,18,0.009578269000880307,5.863374729039344e-05,2.39811072084497e-07,0.009578269000880307,-5.170548429535761e-05,1.1799869066517521e-07,0.009578269000880307,0.0001801113251565473,-3.578097627496722e-07
18,19,0.004871810478905423,2.3296561606051115e-05,7.670414827237429e-08,0.004871810478905423,-1.668111196536144e-05,1.7418904166684558e-08,0.004871810478905423,9.474415116875694e-05,-9.412305243905885e-08
19,20,0.002840766344419472,1.1111776583701427e-05,2.965740097138825e-08,0.002840766344419472,-7.0166022850581315e-06,3.890412074773535e-09,0.002840766344419472,5.597934316726472e-05,-3.354781304616179e-08
20,r,0.4080941595119485,0.0,-6.150283562927268e-09,0.4080941595119485,0.0,6.205699154128635e-05,0.4080941595119485,6.973975112678499e-10,-6.205084125772343e-05
21,gnd,0.12434061102586014,7.115076756936123e-20,8.090987779169213e-07,0.12434061102586014,-8.470329472543003e-22,4.4953598192715604e-08,0.12434061102586014,0.0024710090794165056,-8.540523761096369e-07
