% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 02:16"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-7.688547409323294E-6
0,0,-0.8929663049340348,-5.673155176550564E-6
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-2.815543455492078E-5
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-2.8169215728268214E-5
0,0,-97.00844761996652,-2.8141007282184747E-5
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-5.437630148247949E-6
0,0,-1.1031066682894561,-5.347694178275852E-6
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-5.051922643850053E-6
0,0,-1.8602157258854035,-4.5233854246853354E-6
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-4.759049014960449E-6
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-4.442149011763691E-6
0,0,-3.996164454215794,-3.822156578159109E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-3.839753535128245E-6
0,0,-3.425807236063953,-3.867124162672411E-6
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-3.927700357539995E-6
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-4.011249177103186E-6
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-3.875315395539011E-6
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-3.9150845819304656E-6
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-4.020055458525221E-6
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-4.036640611078609E-6
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-3.838353575254609E-6
0,0,-4.8336783532141885,-3.85910244539544E-6
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-4.233468597784194E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-4.471862146125521E-6
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-4.197064511963181E-6
0,0,-8.824643096501752,-4.825097658467842E-6
-4.71898152714197E-18,-4.136505969166496E-17,-9.154465644653541,-4.93261297167052E-6
9.43796305428394E-18,8.273011938332992E-17,-10.965299754456188,-5.560956739077826E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-9.596050585790136,-5.080258046907019E-6
6.291975369522627E-18,5.515341292221995E-17,-9.418974703894946,-5.020985577045628E-6
0,0,-9.461050494973712,-5.035025057570113E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-11.52161471593611,-5.7622535110447575E-6
0,0,-11.936044188140464,-5.9147950455983485E-6
6.291975369522627E-18,5.515341292221995E-17,-12.3824921823961,-6.0816785704559796E-6
6.291975369522627E-18,5.515341292221995E-17,-12.44502650470911,-6.105125793728705E-6
0,0,-12.981275689243963,-6.3071168181036565E-6
6.291975369522627E-18,5.515341292221995E-17,-13.976137120476714,-6.686633033588772E-6
0,0,-14.49815369913032,-6.8885286727223175E-6
0,0,-14.822105485208658,-7.01416112556562E-6
6.291975369522627E-18,5.515341292221995E-17,-15.247450683840915,-7.179511149687466E-6
0,0,-16.685412697121357,-7.743309665902142E-6
1.2583950739045254E-17,1.103068258444399E-16,-17.01429865578006,-7.873139285744141E-6
0,0,-17.96161673571269,-8.248320870663549E-6
1.2583950739045254E-17,1.103068258444399E-16,-20.381436789283264,-9.209952503550001E-6
2.516790147809051E-17,2.206136516888798E-16,-20.9653009914802,-9.442184829164196E-6
-1.2583950739045254E-17,-1.103068258444399E-16,-19.620940285301792,-8.907396892919994E-6
-6.291975369522627E-18,-5.515341292221995E-17,-22.113330303287842,-9.898665663033107E-6
6.291975369522627E-18,5.515341292221995E-17,-23.036565546055858,-1.0264868338647565E-5
6.291975369522627E-18,5.515341292221995E-17,-23.57977516740271,-1.0479976611968184E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-26.079608354577793,-1.1465773682199134E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-26.11349866857748,-1.1479057231869793E-5
0,0,-23.549494443197194,-1.046799591024717E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-28.08648818248459,-1.2249656563681468E-5
0,0,-30.002504443721996,-1.2989472213872848E-5
-6.291975369522627E-18,-5.515341292221995E-17,-30.10328699543533,-1.3028200688175323E-5
0,0,-30.66476205633888,-1.324347216703664E-5
0,0,-36.40054891114713,-1.5389548090594307E-5
0,0,-36.10924880475138,-1.5283045640291374E-5
0,0,-35.98294442043162,-1.523676758412626E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-42.33748118624316,-1.749392560323255E-5
6.291975369522627E-18,5.515341292221995E-17,-43.71472198398694,-1.7962264787251443E-5
2.516790147809051E-17,2.206136516888798E-16,-36.53048915436559,-1.5437046890046165E-5
3.1459876847613136E-17,2.7576706461109974E-16,-41.81708105737672,-1.7314917483721708E-5
0,0,-45.72207958447228,-1.8630696264245176E-5
1.2583950739045254E-17,1.103068258444399E-16,-48.281264019915064,-1.945770017131449E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-49.540720898270244,-1.9853642674656285E-5
2.516790147809051E-17,2.206136516888798E-16,-52.51956672339127,-2.075990577151408E-5
-5.033580295618102E-17,-4.412273033777596E-16,-56.32116950297499,-2.1852034842851535E-5
0,0,-56.88186118342257,-2.200643750761802E-5
0,0,-57.21584530404734,-2.209785189131724E-5
0,0,-63.93568893867253,-2.38054535830217E-5
0,0,-65.71312558521785,-2.4216310966820043E-5
-2.516790147809051E-17,-2.206136516888798E-16,-64.05776298565763,-2.3834192539533707E-5
0,0,-67.73649629681137,-2.4661305202864212E-5
0,0,-67.48940991677637,-2.4608553806318155E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-68.80925859805319,-2.488388796817732E-5
0,0,-79.12194796268292,-2.668277370751453E-5
5.033580295618102E-17,4.412273033777596E-16,-81.62843978535655,-2.701946662590202E-5
0,0,-89.59870519810008,-2.7797296049386803E-5
0,0,-85.62869604228094,-2.7459812855040038E-5
1.0067160591236203E-16,8.824546067555192E-16,-83.99589094705698,-2.7292971001163273E-5
0,0,48.81153846153844,-7.009655199164637E-4
0,0,49.80769230769231,-7.150408522861104E-4
0,0,47.81538461538461,-6.868771439503926E-4
0,0,50.80384615384615,-7.2910275286018E-4
0,0,46.81923076923077,-6.72775903011222E-4
0,0,45.82307692307691,-6.586619775647176E-4
0,0,44.82692307692307,-6.445359108956364E-4
0,0,43.830769230769214,-6.303977337168751E-4
0,0,37.85384615384615,-5.453329054675773E-4
0,0,36.857692307692304,-5.311189386733257E-4
0,0,38.849999999999994,-5.595370135890133E-4
0,0,42.83461538461539,-6.162478465649319E-4
0,0,40.84230769230768,-5.879141665725678E-4
0,0,41.83846153846154,-6.020866726610649E-4
0,0,51.799999999999976,-7.431505466494315E-4
0,0,31.876923076923077,-4.59909027849302E-4
0,0,30.880769230769225,-4.4564093474045943E-4
0,0,32.873076923076916,-4.7416872221926455E-4
0,0,52.79923736892276,-7.572274771544946E-4
0,0,29.88461538461538,-4.3136494023797493E-4
0,0,35.861538461538444,-5.168954874555231E-4
0,0,34.865384615384606,-5.026624134034457E-4
0,0,26.89615384615384,-3.884937028653143E-4
0,0,25.89999999999999,-3.741898946553412E-4
0,0,33.86923076923076,-4.884199706164725E-4
0,0,24.903846153846153,-3.5988010304172254E-4
0,0,16.934615384615384,-2.4523828352098257E-4
0,0,17.93076923076922,-2.5957932434649136E-4
0,0,18.926923076923075,-2.73918448447029E-4
0,0,19.92307692307692,-2.8825503603418525E-4
0,0,21.91538461538461,-3.1691836133434685E-4
0,0,22.911538461538456,-3.312438914812426E-4
0,0,20.91923076923077,-3.0258854371964E-4
0,0,27.89230769230769,-4.02791018623732E-4
0,0,28.888461538461534,-4.170815125093057E-4
0,0,15.938461538461539,-2.3089634001642378E-4
0,0,23.907692307692308,-3.455646257651399E-4
0,0,39.84615384615385,-5.737307617533529E-4
0,0,53.79847473784555,-7.712900977187469E-4
0,0,1.9923076923076906,-3.236513166890662E-5
0,0,2.988461538461536,-4.587154666873621E-5
0,0,11.95384615384615,-1.735434265115578E-4
0,0,10.957692307692303,-1.592177732661761E-4
0,0,12.949999999999994,-1.878763386024486E-4
0,0,9.96153846153846,-1.4490256895567988E-4
0,0,5.976923076923079,-8.787104454817565E-5
0,0,4.9807692307692335,-7.373602733249461E-5
0,0,8.965384615384613,-1.306022105146804E-4
0,0,14.942307692307685,-2.165544949337627E-4
0,0,3.984615384615381,-5.971094401824401E-5
0,0,54.79771210676833,-7.853381323874464E-4
0,0,0.9961538461538453,-1.9481387554135914E-5
0,0,13.946153846153841,-2.0221399749281846E-4
0,0,7.969230769230769,-1.1632307065233602E-4
0,0,6.973076923076924,-1.0207440785810743E-4
0,0,56.79618684461389,-8.133896735092192E-4
0,0,55.796949475691136,-7.99371363444111E-4
0,0,60.793136320305045,-8.693072753422823E-4
0,0,59.793898951382275,-8.553515301783166E-4
0,0,58.79466158245948,-8.413798468855524E-4
0,0,57.7954242135367,-8.273925025041428E-4
0,0,63.7908484270734,-9.110768885004901E-4
0,0,62.791611058150615,-8.971702814757043E-4
0,0,61.79237368922783,-8.832468937995591E-4
0,0,64.79008579599618,-9.249664736557849E-4
0,0,69.78627264061011,-9.941533877270178E-4
0,0,68.7870352716873,-9.803516798770563E-4
0,0,65.78932316491897,-9.388390402474047E-4
0,0,67.78779790276454,-9.665319394063532E-4
0,0,66.78856053384175,-9.526943347648016E-4
0,0,75.78169685414682,-0.0010765692714931612
0,0,74.78245948522398,-0.0010628813363884207
0,0,76.78093422306955,-0.0010902374850241972
0,0,73.78322211630125,-0.0010491738393983217
0,0,72.78398474737844,-0.0010354470830051432
0,0,71.78474737845566,-0.0010217012823516274
0,0,70.78551000953286,-0.0010079366784623235
0,0,85.77407054337465,-0.001212327748751511
0,0,84.77483317445183,-0.00119884700679666
0,0,82.77635843660626,-0.0011718205616303348
0,0,83.77559580552906,-0.0011853445272172734
0,0,81.77712106768352,-0.0011582754503474825
0,0,80.77788369876072,-0.0011447092129095392
0,0,79.77864632983795,-0.001131121980824163
0,0,78.77940896091513,-0.0011175141257310877
0,0,77.78017159199237,-0.0011038858553070068
0,0,88.77178265014301,-0.001252637329787552
0,0,89.77102001906579,-0.0012660287940107846
