% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 04:46"
% Dimension,1
% Nodes,10
% Expressions,1
% Description,Electric potential
% cln2x,V2 (V)
-2610,-1.3540054710297198E-5
-2030,-2.360203981847794E-5
-1450,-5.180174459193722E-5
-870.0000000000001,-1.2509628904435756E-4
-290.0000000000002,-3.7403767678596724E-4
290.00000000000045,-0.0033605919472173124
870.0000000000001,-0.0012475389864937147
1450,-2.8475411445918575E-4
2030,-1.2667115252047639E-4
2610,-7.616549166713124E-5
