% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 02:35"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-1.630477968709311E-5
0,0,-0.8929663049340348,-1.373403532887326E-5
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-1.808593207675362E-4
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-1.8094473593763415E-4
0,0,-97.00844761996652,-1.807645651765774E-4
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-1.3517091601898661E-5
0,0,-1.1031066682894561,-1.3444510853068157E-5
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-1.3234931696734466E-5
0,0,-1.8602157258854035,-1.3138146343378664E-5
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-1.3108265736347942E-5
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-1.3180033252687837E-5
0,0,-3.996164454215794,-1.5714987401487317E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-1.509784533921016E-5
0,0,-3.425807236063953,-1.4726031476793547E-5
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-1.4236094274687758E-5
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-1.3827481834410419E-5
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-1.769499181451713E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-1.8300252052391018E-5
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-1.9694640614172313E-5
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-1.9888992723265147E-5
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-1.686236845916529E-5
0,0,-4.8336783532141885,-1.738450130860241E-5
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-2.191510900411863E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-2.405565830361509E-5
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-2.156440761061632E-5
0,0,-8.824643096501752,-2.6988155428783227E-5
-4.71898152714197E-18,-4.136505969166496E-17,-9.154465644653541,-2.7837977204069526E-5
9.43796305428394E-18,8.273011938332992E-17,-10.965299754456188,-3.257586289263995E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-9.596050585790136,-2.898287362012123E-5
6.291975369522627E-18,5.515341292221995E-17,-9.418974703894946,-2.852375078358182E-5
0,0,-9.461050494973712,-2.8632762002413692E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-11.52161471593611,-3.404558035183849E-5
0,0,-11.936044188140464,-3.51447527476441E-5
6.291975369522627E-18,5.515341292221995E-17,-12.3824921823961,-3.633326638426922E-5
6.291975369522627E-18,5.515341292221995E-17,-12.44502650470911,-3.649980613426175E-5
0,0,-12.981275689243963,-3.792890913130691E-5
6.291975369522627E-18,5.515341292221995E-17,-13.976137120476714,-4.058583540079366E-5
0,0,-14.49815369913032,-4.1983460704958626E-5
0,0,-14.822105485208658,-4.285057760172563E-5
6.291975369522627E-18,5.515341292221995E-17,-15.247450683840915,-4.398870871604913E-5
0,0,-16.685412697121357,-4.78364344448643E-5
1.2583950739045254E-17,1.103068258444399E-16,-17.01429865578006,-4.8716102982543086E-5
0,0,-17.96161673571269,-5.124779353594677E-5
1.2583950739045254E-17,1.103068258444399E-16,-20.381436789283264,-5.768778318243502E-5
2.516790147809051E-17,2.206136516888798E-16,-20.9653009914802,-5.9233841198166754E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-19.620940285301792,-5.5668948973809435E-5
-6.291975369522627E-18,-5.515341292221995E-17,-22.113330303287842,-6.226393316228149E-5
6.291975369522627E-18,5.515341292221995E-17,-23.036565546055858,-6.468805041535374E-5
6.291975369522627E-18,5.515341292221995E-17,-23.57977516740271,-6.610996572988164E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-26.079608354577793,-7.260297042771381E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-26.11349866857748,-7.269029209274867E-5
0,0,-23.549494443197194,-6.603080567525411E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-28.08648818248459,-7.774603377683437E-5
0,0,-30.002504443721996,-8.258845611873168E-5
-6.291975369522627E-18,-5.515341292221995E-17,-30.10328699543533,-8.284165173022251E-5
0,0,-30.66476205633888,-8.424866919380277E-5
0,0,-36.40054891114713,-9.823784521158071E-5
0,0,-36.10924880475138,-9.754499618990045E-5
0,0,-35.98294442043162,-9.724396118734447E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-42.33748118624316,-1.1190796939807429E-4
6.291975369522627E-18,5.515341292221995E-17,-43.71472198398694,-1.149462247297894E-4
2.516790147809051E-17,2.206136516888798E-16,-36.53048915436559,-9.854678031610896E-5
3.1459876847613136E-17,2.7576706461109974E-16,-41.81708105737672,-1.1074661632722878E-4
0,0,-45.72207958447228,-1.1928004960282443E-4
1.2583950739045254E-17,1.103068258444399E-16,-48.281264019915064,-1.2463876456383875E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-49.540720898270244,-1.2720308018231708E-4
2.516790147809051E-17,2.206136516888798E-16,-52.51956672339127,-1.33069857684581E-4
-5.033580295618102E-17,-4.412273033777596E-16,-56.32116950297499,-1.4013456322363528E-4
0,0,-56.88186118342257,-1.4113349827212047E-4
0,0,-57.21584530404734,-1.4172480411738474E-4
0,0,-63.93568893867253,-1.527637897023186E-4
0,0,-65.71312558521785,-1.5541933776149684E-4
-2.516790147809051E-17,-2.206136516888798E-16,-64.05776298565763,-1.5294952160910377E-4
0,0,-67.73649629681137,-1.5829586016839886E-4
0,0,-67.48940991677637,-1.579548500580607E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-68.80925859805319,-1.5973321851900233E-4
0,0,-79.12194796268292,-1.7135130902996663E-4
5.033580295618102E-17,4.412273033777596E-16,-81.62843978535655,-1.7352374729523795E-4
0,0,-89.59870519810008,-1.785435136408873E-4
0,0,-85.62869604228094,-1.7636455766131319E-4
1.0067160591236203E-16,8.824546067555192E-16,-83.99589094705698,-1.7528717159931236E-4
0,0,48.81153846153844,-0.0011196815170249697
0,0,49.80769230769231,-0.0011419117407586187
0,0,47.81538461538461,-0.0010974161400906257
0,0,50.80384615384615,-0.0011641060374223233
0,0,46.81923076923077,-0.0010751162122374822
0,0,45.82307692307691,-0.0010527823480442596
0,0,44.82692307692307,-0.0010304154787375728
0,0,43.830769230769214,-0.0010080160920450038
0,0,37.85384615384615,-8.729792761768424E-4
0,0,36.857692307692304,-8.503733350265715E-4
0,0,38.849999999999994,-8.955580184136626E-4
0,0,42.83461538461539,-9.855849950880342E-4
0,0,40.84230769230768,-9.406306167705378E-4
0,0,41.83846153846154,-9.631230186085266E-4
0,0,51.799999999999976,-0.0011862633908043638
0,0,31.876923076923077,-7.369601393194704E-4
0,0,30.880769230769225,-7.142061469844505E-4
0,0,32.873076923076916,-7.596913214515438E-4
0,0,52.79923736892276,-0.0012084516212018134
0,0,29.88461538461538,-6.914303363837272E-4
0,0,35.861538461538444,-8.277410042031939E-4
0,0,34.865384615384606,-8.050826911236889E-4
0,0,26.89615384615384,-6.229812789447136E-4
0,0,25.89999999999999,-6.001272755012321E-4
0,0,33.86923076923076,-7.823991218953015E-4
0,0,24.903846153846153,-5.772561086736745E-4
0,0,16.934615384615384,-3.9380200547221893E-4
0,0,17.93076923076922,-4.167685177959564E-4
0,0,18.926923076923075,-4.3972808880249706E-4
0,0,19.92307692307692,-4.6267908204632055E-4
0,0,21.91538461538461,-5.085494799271237E-4
0,0,22.911538461538456,-5.314661045725052E-4
0,0,20.91923076923077,-4.8562002352663694E-4
0,0,27.89230769230769,-6.458170412112415E-4
0,0,28.888461538461534,-6.686336705725482E-4
0,0,15.938461538461539,-3.708306816538348E-4
0,0,23.907692307692308,-5.543686974986656E-4
0,0,39.84615384615385,-9.181086198021766E-4
0,0,53.79847473784555,-0.0012306016888763546
0,0,1.9923076923076906,-5.38014922106854E-5
0,0,2.988461538461536,-7.50248705459793E-5
0,0,11.95384615384615,-2.7895122411441425E-4
0,0,10.957692307692303,-2.560022935056771E-4
0,0,12.949999999999994,-3.0191335534092016E-4
0,0,9.96153846153846,-2.330735195674643E-4
0,0,5.976923076923079,-1.418288052484284E-4
0,0,4.9807692307692335,-1.1927503886004893E-4
0,0,8.965384615384613,-2.101744821060639E-4
0,0,14.942307692307685,-3.47856854039369E-4
0,0,3.984615384615381,-9.695350530080451E-5
0,0,54.79771210676833,-0.0012527129397122366
0,0,0.9961538461538453,-3.3897506209506974E-5
0,0,13.946153846153841,-3.248832952521667E-4
0,0,7.969230769230769,-1.8731884864317481E-4
0,0,6.973076923076924,-1.6452642508318687E-4
0,0,56.79618684461389,-0.0012968165435061655
0,0,55.796949475691136,-0.001274784729732206
0,0,60.793136320305045,-0.001384530292802754
0,0,59.793898951382275,-0.001362665005721792
0,0,58.79466158245948,-0.0013407571902841178
0,0,57.7954242135367,-0.0013188075056918813
0,0,63.7908484270734,-0.0014498653611102847
0,0,62.791611058150615,-0.0014281311293990544
0,0,61.79237368922783,-0.0014063524946247607
0,0,64.79008579599618,-0.0014715545686587797
0,0,69.78627264061011,-0.001579306809707341
0,0,68.7870352716873,-0.001557850884339081
0,0,65.78932316491897,-0.0014931983507498374
0,0,67.78779790276454,-0.0015363471404150507
0,0,66.78856053384175,-0.0015147961121555159
0,0,75.78169685414682,-0.0017070050061560817
0,0,74.78245948522398,-0.0016858481882749661
0,0,76.78093422306955,-0.0017281100793948834
0,0,73.78322211630125,-0.0016646401273385618
0,0,72.78398474737844,-0.0016433814349399965
0,0,71.78474737845566,-0.0016220726198590935
0,0,70.78551000953286,-0.0016007142508809578
0,0,85.77407054337465,-0.0019156435818842277
0,0,84.77483317445183,-0.001895027078819994
0,0,82.77635843660626,-0.0018536256422861132
0,0,83.77559580552906,-0.0018743542623663168
0,0,81.77712106768352,-0.0018328417975344736
0,0,80.77788369876072,-0.0018120031087141867
0,0,79.77864632983795,-0.0017911100362342628
0,0,78.77940896091513,-0.001770163150081903
0,0,77.78017159199237,-0.0017491629606285084
0,0,88.77178265014301,-0.0019771506491470356
0,0,89.77102001906579,-0.0019975371471537776
0,0,87.7725452812202,-0.0019567058911825756
0,0,90.77025738798858,-0.0020178650483804344
0,0,86.77330791229744,-0.0019362033566886602
0,0,91.76949475691133,-0.0020381339039186384
0,0,94.7672068636797,-0.0020985815850341986
0,0,93.76796949475691,-0.002078492621504942
0,0,119.74814108674926,-0.002580040790523416
0,0,120.74737845567205,-0.0025984280732938916
0,0,92.76873212583408,-0.0020583432515613406
0,0,95.7664442326025,-0.0021186097016612847
0,0,108.75653002859866,-0.0023732592866110075
0,0,107.7572926596759,-0.0023540577577772525
0,0,104.75958055290754,-0.002296059617732512
0,0,103.76034318398476,-0.0022765969623480898
0,0,106.75805529075309,-0.0023347903809158178
0,0,102.76110581506195,-0.0022570699074353716
0,0,97.76491897044806,-0.002158482045537634
0,0,98.76415633937079,-0.002178325345586371
0,0,99.76339370829362,-0.0021981061588657895
0,0,114.75195424213535,-0.0024870682129711453
0,0,113.75271687321258,-0.002468268380864217
0,0,111.75424213536701,-0.0024304657894841618
0,0,112.75347950428981,-0.002449400810789391
0,0,123.74509056244038,-0.0026531708349025115
0,0,122.74585319351763,-0.0026349933671389074
0,0,121.74661582459483,-0.0026167456983062437
0,0,130.7397521448999,-0.0027784258779668834
0,0,131.73898951382267,-0.0027960329135818147
0,0,129.74051477597712,-0.00276074676909338
0,0,132.7382268827454,-0.0028135675392923286
0,0,128.7412774070543,-0.0027429958639451856
0,0,127.74204003813152,-0.002725173302407118
0,0,126.74280266920877,-0.0027072792412749028
0,0,110.7550047664442,-0.0024114636264203587
0,0,146.72755004766444,-0.0030513579977203198
0,0,147.72678741658726,-0.0030677872978804132
0,0,96.76568160152526,-0.002138576673034829
0,0,100.7626310772164,-0.002217824100797216
0,0,105.75881792183029,-0.0023154575425003094
0,0,101.76186844613918,-0.002237478810913155
0,0,118.7489037178265,-0.002561584152628003
0,0,117.7496663489037,-0.002543058238079651
0,0,109.75576739752145,-0.0023923946826327398
0,0,116.75042897998094,-0.0025244634173476883
0,0,115.75119161105813,-0.0025057999681255775
0,0,135.73593898951384,-0.0028657351522565788
0,0,136.73517635843655,-0.002882978476236608
0,0,134.73670162059108,-0.002848418853701434
0,0,137.73441372735937,-0.00290014851077161
0,0,138.7336510962822,-0.0029172451850006877
0,0,133.73746425166826,-0.002831029608694202
0,0,124.74432793136315,-0.0026712777354124264
0,0,125.74356530028601,-0.0026893139594342977
0,0,139.73288846520498,-0.0029342681762266056
0,0,141.73136320305053,-0.0029680932719563027
0,0,140.73212583412766,-0.0029512176563631087
0,0,142.73060057197333,-0.00298489487494366
0,0,143.72983794089612,-0.0030016223886825534
0,0,155.7206863679695,-0.0031965226292974603
0,0,156.7199237368923,-0.003212275637295325
