% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 04:48"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-9.19847937429468E-6
0,0,-0.8929663049340348,-6.968495826916385E-6
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-4.659961955736188E-5
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-4.663794488530758E-5
0,0,-97.00844761996652,-4.657653291608297E-5
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-6.7167745921996075E-6
0,0,-1.1031066682894561,-6.621798727989076E-6
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-6.3126425726176575E-6
0,0,-1.8602157258854035,-5.789918706261748E-6
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-6.015262050080243E-6
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-5.715549088778745E-6
0,0,-3.996164454215794,-5.383741938944963E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-5.335036763560606E-6
0,0,-3.425807236063953,-5.321861904193239E-6
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-5.328496874712028E-6
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-5.365932329989736E-6
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-5.646341201586239E-6
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-5.749402883386721E-6
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-5.999920198985166E-6
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-6.036717610436458E-6
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-5.521729322091856E-6
0,0,-4.8336783532141885,-5.597517157831836E-6
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-6.443662269186422E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-6.9032823803343956E-6
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-6.370926850964019E-6
0,0,-8.824643096501752,-7.558610887049613E-6
-4.71898152714197E-18,-4.136505969166496E-17,-9.154465644653541,-7.753499135949437E-6
9.43796305428394E-18,8.273011938332992E-17,-10.965299754456188,-8.868241485005558E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-9.596050585790136,-8.018810280578618E-6
6.291975369522627E-18,5.515341292221995E-17,-9.418974703894946,-7.912371096731332E-6
0,0,-9.461050494973712,-7.93761139452475E-6
-3.1459876847613136E-18,-2.7576706461109974E-17,-11.52161471593611,-9.220285695257766E-6
0,0,-11.936044188140464,-9.485482299109392E-6
6.291975369522627E-18,5.515341292221995E-17,-12.3824921823961,-9.774084527600836E-6
6.291975369522627E-18,5.515341292221995E-17,-12.44502650470911,-9.81459164275351E-6
0,0,-12.981275689243963,-1.0162952395528116E-5
6.291975369522627E-18,5.515341292221995E-17,-13.976137120476714,-1.0814476610435502E-5
0,0,-14.49815369913032,-1.1159359464722563E-5
0,0,-14.822105485208658,-1.1373662023582629E-5
6.291975369522627E-18,5.515341292221995E-17,-15.247450683840915,-1.1655435583725116E-5
0,0,-16.685412697121357,-1.2612863588864897E-5
1.2583950739045254E-17,1.103068258444399E-16,-17.01429865578006,-1.2832631238525645E-5
0,0,-17.96161673571269,-1.346655260370438E-5
1.2583950739045254E-17,1.103068258444399E-16,-20.381436789283264,-1.5085971843801345E-5
2.516790147809051E-17,2.206136516888798E-16,-20.9653009914802,-1.547609855930397E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-19.620940285301792,-1.4577183862202416E-5
-6.291975369522627E-18,-5.515341292221995E-17,-22.113330303287842,-1.624243940195793E-5
6.291975369522627E-18,5.515341292221995E-17,-23.036565546055858,-1.6856033733840166E-5
