% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 04:30"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-2.1538266871269728E-5
0,0,-0.8929663049340348,-1.8935232858522192E-5
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-2.9539054068471345E-4
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-2.956423199054304E-4
0,0,-97.00844761996652,-2.9523999046656384E-4
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-1.8780163216980434E-5
0,0,-1.1031066682894561,-1.873948423883677E-5
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-1.865808698251519E-5
0,0,-1.8602157258854035,-1.9009485649480778E-5
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-1.8722498152567083E-5
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-1.916464292139343E-5
0,0,-3.996164454215794,-2.430678950697742E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-2.3186396412478534E-5
0,0,-3.425807236063953,-2.249441422557312E-5
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-2.1559130930281148E-5
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-2.0745920801636845E-5
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-2.779286727558925E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-2.883516229163233E-5
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-3.122362926172406E-5
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-3.155457111854223E-5
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-2.6341298484662253E-5
0,0,-4.8336783532141885,-2.7253973593502572E-5
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-3.498103825881675E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-3.857173371467371E-5
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-3.439013570572646E-5
0,0,-8.824643096501752,-4.3463563501206987E-5
-4.71898152714197E-18,-4.136505969166496E-17,-9.154465644653541,-4.487603221182644E-5
9.43796305428394E-18,8.273011938332992E-17,-10.965299754456188,-5.2722448133300834E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-9.596050585790136,-4.677626667186469E-5
6.291975369522627E-18,5.515341292221995E-17,-9.418974703894946,-4.6014349706769026E-5
0,0,-9.461050494973712,-4.619529339806766E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-11.52161471593611,-5.515049899628606E-5
0,0,-11.936044188140464,-5.696427308039039E-5
6.291975369522627E-18,5.515341292221995E-17,-12.3824921823961,-5.8923389846021646E-5
6.291975369522627E-18,5.515341292221995E-17,-12.44502650470911,-5.919786056910504E-5
0,0,-12.981275689243963,-6.155237548879709E-5
6.291975369522627E-18,5.515341292221995E-17,-13.976137120476714,-6.592588085064687E-5
0,0,-14.49815369913032,-6.822411661407396E-5
0,0,-14.822105485208658,-6.964942947734253E-5
6.291975369522627E-18,5.515341292221995E-17,-15.247450683840915,-7.152019274508109E-5
0,0,-16.685412697121357,-7.78411383089491E-5
1.2583950739045254E-17,1.103068258444399E-16,-17.01429865578006,-7.928511286630678E-5
0,0,-17.96161673571269,-8.343887045506226E-5
1.2583950739045254E-17,1.103068258444399E-16,-20.381436789283264,-9.399650064582554E-5
2.516790147809051E-17,2.206136516888798E-16,-20.9653009914802,-9.65299380585877E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-19.620940285301792,-9.068744859929238E-5
-6.291975369522627E-18,-5.515341292221995E-17,-22.113330303287842,-1.0149685916613634E-4
6.291975369522627E-18,5.515341292221995E-17,-23.036565546055858,-1.0546627113962988E-4
6.291975369522627E-18,5.515341292221995E-17,-23.57977516740271,-1.0779538281883194E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-26.079608354577793,-1.1842709915999233E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-26.11349866857748,-1.1857005329176945E-4
