% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 04:11"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-7.496411657702083E-5
0,0,-0.8929663049340348,-7.551277068926652E-5
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-0.0017080723390840975
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-0.001709627327024621
0,0,-97.00844761996652,-0.0017071761053605989
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-7.656678331723505E-5
0,0,-1.1031066682894561,-7.709195529801964E-5
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-7.916510779043331E-5
0,0,-1.8602157258854035,-8.616621441569478E-5
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-8.217936908098829E-5
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-8.791407573504036E-5
0,0,-3.996164454215794,-1.275221989264576E-4
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-1.1993153732637545E-4
0,0,-3.425807236063953,-1.1509823244510334E-4
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-1.0835529690343112E-4
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-1.0222079244054082E-4
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-1.501866002831949E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-1.5675231184657517E-4
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-1.7167425353516714E-4
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-1.7372398261565782E-4
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-1.4088043574744924E-4
0,0,-4.8336783532141885,-1.467536817797617E-4
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-1.9472246875662053E-4
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-2.1644259471026108E-4
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-1.911232230671633E-4
0,0,-8.824643096501752,-2.457817704261393E-4
-4.71898152714197E-18,-4.136505969166496E-17,-9.154465644653541,-2.5420443192220753E-4
9.43796305428394E-18,8.273011938332992E-17,-10.965299754456188,-3.0071581257593884E-4
