% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 19 2024, 19:17"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-5.2355169677605424E-5
0,0,-0.8929663049340348,-5.1314879821580435E-5
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-0.0010957152405085902
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-0.0010960933381655045
0,0,-97.00844761996652,-0.0010953492998399075
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-5.1815887217011505E-5
0,0,-1.1031066682894561,-5.2083301817509776E-5
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-5.318852540158412E-5
0,0,-1.8602157258854035,-5.723773768850557E-5
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-5.4886960138335946E-5
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-5.828432111459504E-5
0,0,-3.996164454215794,-8.2827098229383E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-7.805622216583963E-5
0,0,-3.425807236063953,-7.50304635888264E-5
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-7.082222058368143E-5
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-6.701405851962165E-5
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-9.714185856010705E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-1.0130517956583695E-4
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-1.1077537824212863E-4
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-1.1207790799957419E-4
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-9.125431079838162E-5
0,0,-4.8336783532141885,-9.496827771845467E-5
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-1.25436882841393E-4
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-1.3927704907504065E-4
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-1.2314568674846182E-4
