,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2
0,1,0.11521163476507292,-4.53542555387895e-08,1.2031683218933956e-11,0.11521163476507292,0.0009636994218553837,-3.083940723670918e-05,0.11521163476507292,-0.0019523164835654244,3.083939520502596e-05
1,2,0.0029780838987235048,-1.1106735092254138e-05,2.9053417576452368e-08,0.0029780838987235048,7.242460122995404e-06,4.250549302133741e-09,0.0029780838987235048,5.638515903228221e-05,-3.330396687858611e-08
2,3,0.004997206527244613,-2.297558677282734e-05,7.433034883737277e-08,0.004997206527244613,1.682172868840829e-05,1.7880266272578747e-08,0.004997206527244613,9.331169667762754e-05,-9.221061510995152e-08
3,4,0.009599771438901894,-5.682960498461066e-05,2.2737839026461997e-07,0.009599771438901894,5.090146786268858e-05,1.1613691467098563e-07,0.009599771438901894,0.00017305876327626383,-3.435153049356056e-07
4,5,0.021813582694795677,-0.0001481847865112301,3.8971648306421126e-07,0.021813582694795677,0.00022279917992346624,1.4014606458281682e-06,0.021813582694795677,0.0003506808934905323,-1.7911771288923794e-06
5,6,0.03698855081556549,1.0080987674710232e-07,-1.5259630699774286e-06,0.03698855081556549,0.0005783462361436489,6.26498111643062e-06,0.03698855081556549,0.0005072026953618659,-4.739018046453192e-06
6,7,0.02177868820725326,0.0001481990922086661,3.8977536160684944e-07,0.02177868820725326,0.00022270471904088966,1.4013005629564943e-06,0.02177868820725326,0.00035001007933151444,-1.7910759245633438e-06
7,8,0.009564155249151596,5.682785507377693e-05,2.274261827636858e-07,0.009564155249151596,5.0809478350879585e-05,1.1599005926350017e-07,0.009564155249151596,0.00017237392822118413,-3.4341624202718596e-07
8,9,0.004962952505654178,2.2962078660726964e-05,7.436237331666387e-08,0.004962952505654178,1.6738991823066874e-05,1.775880971438501e-08,0.004962952505654178,9.265285110351601e-05,-9.212118303104888e-08
9,10,0.0029465653822636217,1.1086225328789568e-05,2.90702349289515e-08,0.0029465653822636217,7.172311657293686e-06,4.157719287174203e-09,0.0029465653822636217,5.577871087367512e-05,-3.32279542161257e-08
10,11,0.11521163476507294,-4.535425553878958e-08,1.2031683218934014e-11,0.11521163476507294,-0.0009636994218556315,-3.0839407236705675e-05,0.11521163476507294,-0.0019523164835653156,3.0839395205022456e-05
11,12,0.002978083898723502,-1.1106735092254135e-05,2.9053417576452365e-08,0.002978083898723502,-7.242460122995404e-06,4.250549302133741e-09,0.002978083898723502,5.638515903228223e-05,-3.33039668785861e-08
12,13,0.004997206527244605,-2.297558677282734e-05,7.433034883737277e-08,0.004997206527244605,-1.682172868840829e-05,1.7880266272578747e-08,0.004997206527244605,9.33116966776275e-05,-9.221061510995152e-08
13,14,0.009599771438901932,-5.682960498461066e-05,2.2737839026461992e-07,0.009599771438901932,-5.090146786268857e-05,1.1613691467098563e-07,0.009599771438901932,0.00017305876327626375,-3.4351530493560555e-07
14,15,0.021813582694795688,-0.00014818478651123008,3.897164830642112e-07,0.021813582694795688,-0.00022279917992346624,1.401460645828168e-06,0.021813582694795688,0.0003506808934905323,-1.7911771288923792e-06
15,16,0.03698855081556547,1.0080987674713138e-07,-1.5259630699774284e-06,0.03698855081556547,-0.0005783462361436489,6.264981116430621e-06,0.03698855081556547,0.0005072026953618659,-4.739018046453193e-06
16,17,0.02177868820725326,0.00014819909220866614,3.897753616068494e-07,0.02177868820725326,-0.00022270471904088966,1.4013005629564941e-06,0.02177868820725326,0.0003500100793315145,-1.7910759245633434e-06
17,18,0.00956415524915159,5.682785507377693e-05,2.274261827636858e-07,0.00956415524915159,-5.0809478350879585e-05,1.1599005926350012e-07,0.00956415524915159,0.0001723739282211841,-3.434162420271859e-07
18,19,0.004962952505654224,2.2962078660726964e-05,7.436237331666387e-08,0.004962952505654224,-1.6738991823066874e-05,1.775880971438501e-08,0.004962952505654224,9.265285110351604e-05,-9.212118303104888e-08
19,20,0.0029465653822636374,1.1086225328789563e-05,2.9070234928951505e-08,0.0029465653822636374,-7.172311657293686e-06,4.157719287174204e-09,0.0029465653822636374,5.577871087367512e-05,-3.322795421612571e-08
20,r,0.3782548412566302,2.469510121342589e-08,-5.293462193811353e-11,0.3782548412566302,-2.7521387946372045e-15,5.5184034242830446e-05,0.3782548412566302,8.515993507398308e-07,-5.518398130820851e-05
21,gnd,0.034007204236104344,-5.171669589893337e-09,1.2916754103447576e-07,0.034007204236104344,2.117582368135751e-22,1.08357160243894e-08,0.034007204236104344,0.0006523088155391182,-1.4000325705886516e-07
