,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
0,1,0.1152116347650744,-4.535462935745058e-08,1.2031542165600041e-11,0.11520676513286421,0.0009311286814208918,-3.0351845917562853e-05,0.11520671765695095,-0.0019793598947976704,3.133052040970186e-05,8.875177226005927e-21,6.552814873844341e-05,4.710595995226786e-05
1,2,0.0029780837809636057,-1.111069043574573e-05,2.906519004850831e-08,0.0029780839166478634,7.241738488809174e-06,4.248757029583095e-09,0.002978083725307227,5.637315045808101e-05,-3.3286626241199135e-08,9.940446163560675e-13,3.307209598851054e-14,9.156482856246906e-12
2,3,0.004997206095492364,-2.298790188999957e-05,7.437351071702474e-08,0.004997206641497984,1.681948281530517e-05,1.7868841348018963e-08,0.004997205717563963,9.328018445101585e-05,-9.212964370073468e-08,9.637769639890066e-12,3.20438446095534e-13,6.304709377796719e-11
3,4,0.009599770165466601,-5.6871702201481876e-05,2.275057548614963e-07,0.009599772608241408,5.089721570368688e-05,1.1601998820414289e-07,0.009599765525121678,0.00017295809656303328,-3.4292377174919013e-07,1.1256732789858984e-10,1.1633776103670165e-12,6.435220973038738e-10
4,5,0.021813603198212187,-0.00014807744396868255,3.8766608938413773e-07,0.021813574717528643,0.00022315149275472458,1.4022611538196908e-06,0.021813518044358327,0.00035043122010659685,-1.784708601990678e-06,7.382711057166858e-10,7.87284058080706e-09,4.005190408524209e-09
5,6,0.03698850979103473,1.008042695792965e-07,-1.5218598024921254e-06,0.03698819704528185,0.0005816792358175871,6.3003264792698245e-06,0.03698833449273546,0.0005073376083086877,-4.717382755982293e-06,1.3289555031272873e-11,7.090437748219164e-07,1.4536302127893425e-09
6,7,0.021778708710707778,0.0001480917504423078,3.8772496412578105e-07,0.021778680230206737,0.00022305701886508232,1.4021010489024383e-06,0.02177862355692596,0.00034976044453314105,-1.7846074086670465e-06,7.382605129249718e-10,7.872258851363754e-09,4.003964695726747e-09
7,8,0.009564153975734234,5.686995417598359e-05,2.2755354556627339e-07,0.009564156418665112,5.080521506962523e-05,1.1587311539695269e-07,0.00956414933547507,0.00017227329929685149,-3.4282471920917554e-07,1.1257740882883266e-10,1.169407357460033e-12,6.430391249174177e-10
8,9,0.004962952073901426,2.297439594808104e-05,7.440553525177879e-08,0.004962952620022579,1.673673764119198e-05,1.7747373294538406e-08,0.004962951696061732,9.262137301880651e-05,-9.204022043467436e-08,9.641165368412274e-12,3.228133663865638e-13,6.291053685708057e-11
9,10,0.002946565264492736,1.1090182543814388e-05,2.908200850287099e-08,0.0029465654002528464,7.171584456081326e-06,4.155920532604234e-09,0.0029465652089167085,5.5766731345634885e-05,-3.321062051137236e-08,9.949852872211504e-13,3.3584354815753154e-14,9.112237503197718e-12
10,11,0.1152116347650744,-4.535462935721808e-08,1.2031542165600041e-11,0.11520676513286415,-0.0009311286814208935,-3.0351845917561985e-05,0.1152067176569509,-0.00197935989479767,3.133052040970186e-05,8.875166665922545e-21,6.552814873844264e-05,4.7105959952268755e-05
11,12,0.002978083780963605,-1.1110690435745732e-05,2.90651900484829e-08,0.002978083916647864,-7.24173848880919e-06,4.248757029566154e-09,0.002978083725307224,5.637315045808096e-05,-3.328662624121269e-08,9.940446163518714e-13,3.3072095974481435e-14,9.156482856315703e-12
12,13,0.004997206095492365,-2.2987901889999605e-05,7.437351071702474e-08,0.004997206641497986,-1.6819482815305164e-05,1.7868841348018963e-08,0.004997205717563963,9.328018445101589e-05,-9.212964370073468e-08,9.63776963992744e-12,3.204384460857967e-13,6.30470937781283e-11
