,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2
0,1,0.11521163476506979,-4.535425553879088e-08,1.2031683218934421e-11,0.11521163476506979,0.0009636994218553062,-3.083940723670715e-05,0.11521163476506979,-0.0019523164835653294,3.083939520502393e-05
1,2,0.002978083898723588,-1.1106735092254453e-05,2.9053417576453162e-08,0.002978083898723588,7.242460122995624e-06,4.250549302133864e-09,0.002978083898723588,5.638515903228205e-05,-3.330396687858703e-08
2,3,0.004997206527244752,-2.297558677282802e-05,7.433034883737488e-08,0.004997206527244752,1.6821728688408788e-05,1.7880266272579256e-08,0.004997206527244752,9.331169667762721e-05,-9.221061510995413e-08
3,4,0.0095997714389022,-5.682960498461221e-05,2.2737839026462553e-07,0.0095997714389022,5.090146786268996e-05,1.1613691467098846e-07,0.0095997714389022,0.0001730587632762628,-3.4351530493561397e-07
4,5,0.021813582694796302,-0.000148184786511233,3.897164830642128e-07,0.021813582694796302,0.00022279917992347098,1.4014606458281866e-06,0.021813582694796302,0.0003506808934905265,-1.7911771288923993e-06
5,6,0.03698855081556632,1.0080987674726495e-07,-1.525963069977452e-06,0.03698855081556632,0.000578346236143657,6.264981116430641e-06,0.03698855081556632,0.0005072026953618508,-4.739018046453188e-06
6,7,0.021778688207253857,0.00014819909220866904,3.897753616068509e-07,0.021778688207253857,0.0002227047190408944,1.4013005629565128e-06,0.021778688207253857,0.0003500100793315087,-1.7910759245633637e-06
7,8,0.009564155249151876,5.682785507377849e-05,2.2742618276369138e-07,0.009564155249151876,5.080947835088097e-05,1.1599005926350297e-07,0.009564155249151876,0.00017237392822118313,-3.434162420271943e-07
8,9,0.004962952505654372,2.2962078660727656e-05,7.4362373316666e-08,0.004962952505654372,1.6738991823067365e-05,1.7758809714385516e-08,0.004962952505654372,9.265285110351574e-05,-9.212118303105151e-08
9,10,0.0029465653822637605,1.1086225328789883e-05,2.90702349289523e-08,0.0029465653822637605,7.172311657293904e-06,4.157719287174323e-09,0.0029465653822637605,5.5778710873674955e-05,-3.322795421612662e-08
10,11,0.11521163476506971,-4.535425553879092e-08,1.2031683218934386e-11,0.11521163476506971,-0.0009636994218553014,-3.083940723670707e-05,0.11521163476506971,-0.0019523164835653253,3.083939520502385e-05
11,12,0.0029780838987235768,-1.1106735092254453e-05,2.9053417576453155e-08,0.0029780838987235768,-7.2424601229956225e-06,4.250549302133864e-09,0.0029780838987235768,5.638515903228207e-05,-3.3303966878587016e-08
12,13,0.004997206527244747,-2.2975586772828025e-05,7.433034883737492e-08,0.004997206527244747,-1.6821728688408784e-05,1.7880266272579256e-08,0.004997206527244747,9.331169667762722e-05,-9.221061510995418e-08
13,14,0.00959977143890221,-5.682960498461221e-05,2.273783902646255e-07,0.00959977143890221,-5.090146786268996e-05,1.1613691467098846e-07,0.00959977143890221,0.00017305876327626283,-3.4351530493561397e-07
14,15,0.021813582694796302,-0.000148184786511233,3.8971648306421285e-07,0.021813582694796302,-0.00022279917992347096,1.4014606458281866e-06,0.021813582694796302,0.0003506808934905265,-1.7911771288923995e-06
15,16,0.03698855081556632,1.0080987674729737e-07,-1.5259630699774521e-06,0.03698855081556632,-0.0005783462361436571,6.264981116430641e-06,0.03698855081556632,0.0005072026953618509,-4.739018046453188e-06
16,17,0.021778688207253857,0.00014819909220866904,3.897753616068509e-07,0.021778688207253857,-0.00022270471904089437,1.4013005629565125e-06,0.021778688207253857,0.0003500100793315087,-1.7910759245633635e-06
17,18,0.009564155249151895,5.682785507377849e-05,2.2742618276369135e-07,0.009564155249151895,-5.080947835088097e-05,1.1599005926350295e-07,0.009564155249151895,0.00017237392822118316,-3.434162420271943e-07
18,19,0.004962952505654376,2.296207866072765e-05,7.436237331666598e-08,0.004962952505654376,-1.673899182306737e-05,1.7758809714385516e-08,0.004962952505654376,9.265285110351577e-05,-9.21211830310515e-08
19,20,0.0029465653822637345,1.1086225328789885e-05,2.9070234928952296e-08,0.0029465653822637345,-7.172311657293904e-06,4.1577192871743245e-09,0.0029465653822637345,5.577871087367493e-05,-3.322795421612662e-08
20,r,0.3782548412566302,2.469510121342666e-08,-5.2934621938115184e-11,0.3782548412566302,-2.4902226548190187e-15,5.5184034242828685e-05,0.3782548412566302,8.515993506547412e-07,-5.518398130820675e-05
21,gnd,0.034007204236105426,-5.171669589901622e-09,1.2916754103447973e-07,0.034007204236105426,2.117582368135751e-21,1.0835716024389732e-08,0.034007204236105426,0.0006523088155391181,-1.4000325705886947e-07
