,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2
0,1,0.14799254565144163,0.0,-1.0390226777943346e-09,0.14799254565144163,0.0012907649533095084,-4.121719295364253e-05,0.14799254565144163,-0.0025732384238531464,4.121823197632032e-05
1,2,0.0028403238634343315,-1.1110076927986666e-05,2.9652988796252704e-08,0.0028403238634343315,7.015522418356055e-06,3.889828978302224e-09,0.0028403238634343315,5.5979873473376555e-05,-3.354281777455493e-08
2,3,0.004871061584517238,-2.3293096973896715e-05,7.669332807903642e-08,0.004871061584517238,1.66786037574544e-05,1.741639283509306e-08,0.004871061584517238,9.4745639021665e-05,-9.410972091412947e-08
3,4,0.009576845320180011,-5.862566780685203e-05,2.3978225942655063e-07,0.009576845320180011,5.169820251618488e-05,1.1798365743693388e-07,0.009576845320180011,0.00018011698129887372,-3.577659168634845e-07
4,5,0.022373979261064138,-0.00015726028822640297,4.3018666522869745e-07,0.022373979261064138,0.0002345919365253044,1.511821322569045e-06,0.022373979261064138,0.00037632380707186737,-1.9420079877977425e-06
5,6,0.03855348394073215,0.0,-1.6160160545108143e-06,0.03855348394073215,0.0006190776302866112,6.859835561355271e-06,0.03855348394073215,0.0005562386246249569,-5.243819506844456e-06
6,7,0.022373979261064138,0.00015726028822640297,4.3018666522869745e-07,0.022373979261064138,0.0002345919365253044,1.511821322569045e-06,0.022373979261064138,0.00037632380707186737,-1.9420079877977425e-06
7,8,0.009576845320180011,5.862566780685203e-05,2.3978225942655063e-07,0.009576845320180011,5.169820251618488e-05,1.1798365743693388e-07,0.009576845320180011,0.00018011698129887378,-3.577659168634845e-07
8,9,0.004871061584517238,2.3293096973896715e-05,7.669332807903642e-08,0.004871061584517238,1.66786037574544e-05,1.741639283509306e-08,0.004871061584517238,9.474563902166497e-05,-9.410972091412947e-08
9,10,0.0028403238634343315,1.1110076927986666e-05,2.9652988796252704e-08,0.0028403238634343315,7.015522418356055e-06,3.889828978302224e-09,0.0028403238634343315,5.597987347337653e-05,-3.354281777455493e-08
10,11,0.14799254565144163,0.0,-1.0390226777943346e-09,0.14799254565144163,-0.0012907649533095084,-4.121719295364253e-05,0.14799254565144163,-0.0025732384238531464,4.121823197632032e-05
11,12,0.002840323863434342,-1.1110076927986666e-05,2.9652988796252704e-08,0.002840323863434342,-7.015522418356055e-06,3.889828978302224e-09,0.002840323863434342,5.597987347337654e-05,-3.354281777455493e-08
12,13,0.0048710615845172466,-2.3293096973896715e-05,7.669332807903642e-08,0.0048710615845172466,-1.66786037574544e-05,1.741639283509306e-08,0.0048710615845172466,9.474563902166501e-05,-9.410972091412947e-08
13,14,0.009576845320180022,-5.862566780685203e-05,2.3978225942655063e-07,0.009576845320180022,-5.169820251618488e-05,1.1798365743693388e-07,0.009576845320180022,0.00018011698129887372,-3.577659168634845e-07
14,15,0.022373979261064145,-0.00015726028822640297,4.3018666522869745e-07,0.022373979261064145,-0.0002345919365253044,1.511821322569045e-06,0.022373979261064145,0.00037632380707186737,-1.9420079877977425e-06
15,16,0.038553483940732144,0.0,-1.6160160545108143e-06,0.038553483940732144,-0.0006190776302866112,6.859835561355271e-06,0.038553483940732144,0.0005562386246249567,-5.243819506844456e-06
16,17,0.02237397926106413,0.00015726028822640297,4.3018666522869745e-07,0.02237397926106413,-0.0002345919365253044,1.511821322569045e-06,0.02237397926106413,0.00037632380707186737,-1.9420079877977425e-06
17,18,0.009576845320180008,5.862566780685203e-05,2.3978225942655063e-07,0.009576845320180008,-5.169820251618488e-05,1.1798365743693388e-07,0.009576845320180008,0.00018011698129887372,-3.577659168634845e-07
18,19,0.004871061584517233,2.3293096973896715e-05,7.669332807903642e-08,0.004871061584517233,-1.66786037574544e-05,1.741639283509306e-08,0.004871061584517233,9.474563902166501e-05,-9.410972091412947e-08
19,20,0.002840323863434342,1.1110076927986666e-05,2.9652988796252704e-08,0.002840323863434342,-7.015522418356055e-06,3.889828978302224e-09,0.002840323863434342,5.597987347337654e-05,-3.354281777455493e-08
20,r,0.40809415562899043,0.0,-6.1493222300431745e-09,0.40809415562899043,0.0,6.208638632943303e-05,0.40809415562899043,9.81869694001436e-07,-6.208023700720298e-05
21,gnd,0.12432107931509317,-1.0164395367051604e-20,8.089747835451936e-07,0.12432107931509317,4.235164736271502e-21,4.4946781005681194e-08,0.12432107931509317,0.0024710225797966406,-8.539215645508748e-07
