,V
0,-12850724705.057219
1,0.0
2,0.0
3,-1152179104126.8726
4,127209729793.66693
5,127209729793.66693
6,127209729793.66693
7,-1152179104126.8726
8,0.0
9,0.0
10,12850724705.03331
11,0.0
12,0.0
13,1152179104126.75
14,-127209729793.74217
15,-127209729793.74217
16,-127209729793.74217
17,1152179104126.75
18,0.0
19,0.0
20,0.0
21,0.0
